aa,sced,cplx,site,resl,acap,etat,rely,data,prec,pmat,aexp,flex,pcon,tool,time,stor,docu,b,plex,pcap,kloc,ltex,pr,ruse,team,pvol,$>effort,$>months,$>defects,$>risk
4.50770991337,1.74180422245,5.36118938036,3.57448348755,2.50739940018,3.62126100357,5.29146616019,3.09445160271,4.70910493136,4.78284782358,3.04531942811,4.25618694445,2.56146325296,3.24343512636,3.20642929041,3.08980244484,5.42234721661,1.31259019559,7.09365990804,1.73894024472,4.17244317149,412.201354551,1.53652790034,2.67362970441,5.82607148533,3.4398092451,2.62335168485,1996.5424796,25.8036070492,10269.2883675,1.60857908847
5.86240909404,4.57230579572,1.06909268734,1.72506442449,4.79413838932,3.17716802762,3.84961991582,3.41479293765,2.00307012068,3.57313107737,1.24463877937,3.46833153726,2.6719881095,4.83554264676,2.10589309757,5.39913752583,4.92850168974,1.33445419791,7.63669085539,4.26317220899,3.82867714969,363.691090223,1.64943363345,3.30569471812,5.46106492341,1.56825286061,2.90491450291,690.772833607,36.9879842857,6092.67650845,1.34048257373
3.85944725285,2.61940939345,1.73585100356,5.56529107349,1.72127012963,4.17683956762,3.61573815166,4.087309538,3.24843415398,4.64753687626,2.49964209124,1.71615446182,3.283663175,2.97500071934,2.21013107949,5.36040464279,3.65404659522,3.88543632777,5.0046698737,3.08596771288,4.72973388172,820.13186526,1.45461102066,1.88374124817,2.97768386764,3.67089442233,2.42826317273,2765.3591345,34.4926713071,8533.93774285,2.68096514745
2.73241600813,4.55143668778,3.57006719788,1.26354329694,4.6030923347,1.6228474615,5.87093442308,3.51250314092,4.40983796552,3.02923757161,2.38072997389,2.31111873162,4.71722093553,3.83540187023,1.72225606484,5.940087758,5.94510541829,2.07546053745,4.41443452452,4.47167947344,1.54170570858,359.203730976,2.4380359754,1.95708328255,3.68000562553,3.343094744,3.8165419044,4687.61331098,62.9956171554,11255.3125914,3.48525469169
5.20341758257,4.76185359557,4.43559250459,3.18092273664,3.61877576362,3.61791164268,3.77708936358,2.51677606823,2.7020580885,1.7449196511,3.15849053686,2.35238227962,4.95430334161,2.27782590518,3.02412987063,3.12461779662,4.85821834996,2.62125406455,9.80229813543,3.71158281825,1.61214377106,615.627368212,1.15539314464,2.75623137735,5.76381217121,1.33461552695,4.67215247168,3199.11782822,62.2737712322,60552.3946324,1.60857908847
5.98375346073,2.00443272363,2.79177017401,2.7092726767,4.20668092768,1.15460381261,4.43957211769,3.99603485572,4.00624939139,1.69459716044,3.22791575365,4.54927370945,1.82858307474,1.61998562993,1.92949087811,5.13735163129,5.66422099439,2.3779178863,4.69082328508,1.89382998475,2.3486612999,219.204167625,2.97171341166,3.15977501862,4.36311322184,4.69557056542,2.43209467224,2988.1651715,34.9894395419,7861.46509831,4.02144772118
3.24168922621,3.74546404966,2.52961216937,4.95598800495,2.18661940237,1.59582539268,5.41531563792,1.67806894987,2.18668501585,1.33768008395,2.32279533352,4.68261867927,3.35892129964,4.83137762824,4.00658451103,4.5929176441,3.05823999456,1.45749540679,6.10755581653,3.4678483486,3.94845908935,465.444446048,4.2001849398,1.73193215608,2.37622806996,3.70345151586,2.16256253321,337.033392592,22.7200676333,2819.11450344,1.60857908847
4.01037035812,4.21139834515,1.41576866359,2.0711040563,1.79995168519,3.78092387917,1.56768965007,4.07811089959,3.53263404125,1.6754449126,4.48760791368,3.60642147772,4.30358156299,4.28333848131,3.14574868089,3.49058262561,3.95149351781,3.36324318428,5.81565573642,2.71507974027,3.71883030507,513.274225063,3.34281349764,4.92181203033,3.46011244428,3.09101711632,2.15387043192,961.84523907,40.6174392914,4921.88001073,0.268096514745
3.68168574003,2.96339325422,2.95156188258,1.25089706306,4.33004782607,2.65894939449,3.89184913223,1.08195354073,4.22258811281,2.48664279378,2.79834105306,3.18692414985,1.57142609691,4.36374970746,2.37290054934,3.11810707417,4.59612378357,2.26856347542,9.05963368617,1.29503456921,1.71162941164,775.667682806,2.74878879912,2.57411146028,3.73224997696,2.80146210163,3.35629652813,2934.64739432,35.4713171859,54382.1374174,2.9490616622
3.29471409212,3.47636728002,3.74244741281,5.98133415785,4.85858025665,1.28223135186,4.35242512759,1.61864940064,4.0895199629,2.93592620064,4.04837962193,3.36933324637,2.97229177096,2.22931368194,3.97646633615,3.21067960831,4.09570447177,2.0268077068,6.25576199355,3.99915586675,2.13517072235,350.44465893,1.84142867818,5.52968511277,3.62449604945,4.35027275511,2.22229322253,912.324848317,28.4455722749,3375.25185334,1.60857908847
